x,y1,y2,y3,y4,y5
250.0,0.663,0.667,0.668,0.6729,0.6769
256.02894,0.6828,0.6869,0.6899,0.6929,0.6939
262.05788,0.6987,0.6999,0.7009,0.7038,0.7077
268.08682,0.7126,0.7167,0.7197,0.7236,0.7267
274.11576,0.7306,0.7328,0.7357,0.7386,0.7425
280.1447,0.7508,0.7546,0.7567,0.7613,0.7662
286.17364,0.7687,0.7698,0.7717,0.7745,0.7758
292.20258,0.7801,0.7818,0.7836,0.7848,0.7858
298.23152,0.786,0.786,0.7868,0.7878,0.7888
304.26046,0.789,0.789,0.7905,0.791,0.791
310.2894,0.7917,0.792,0.7913,0.7895,0.789
316.31834,0.789,0.789,0.789,0.7883,0.788
322.34728,0.7873,0.787,0.7863,0.786,0.7853
328.37622,0.779,0.7747,0.7727,0.7694,0.7654
334.40516,0.7627,0.7614,0.761,0.761,0.7604
340.4341,0.76,0.7606,0.761,0.7616,0.7626
346.46304,0.763,0.7636,0.7652,0.766,0.7671
352.49198,0.772,0.7767,0.7797,0.7832,0.785
358.52092,0.7855,0.786,0.786,0.7865,0.787
364.54986,0.7875,0.788,0.7875,0.787,0.7865
370.5788,0.786,0.7855,0.785,0.7845,0.7812
376.60774,0.7766,0.7741,0.7712,0.7677,0.7625
382.63668,0.7567,0.7546,0.7531,0.7516,0.7506
388.66562,0.75,0.75,0.7504,0.7522,0.7548
394.69456,0.7568,0.7592,0.7614,0.762,0.762
400.7235,0.762,0.762,0.762,0.7617,0.761
406.75244,0.761,0.7607,0.7593,0.758,0.7577
412.78138,0.7561,0.7534,0.7517,0.7504,0.7487
418.81032,0.7477,0.7464,0.7444,0.7413,0.7359
424.83926,0.7322,0.729,0.7247,0.72,0.7163
430.8682,0.7126,0.7066,0.7015,0.6971,0.6857
436.89714,0.6795,0.6728,0.6672,0.664,0.6642
442.92608,0.665,0.6656,0.6691,0.6752,0.6813
448.95502,0.6832,0.6843,0.6863,0.6881,0.6894
454.98396,0.692,0.692,0.692,0.692,0.6918
461.0129,0.6899,0.6889,0.6878,0.6856,0.6816
467.04184,0.6778,0.6758,0.6736,0.6689,0.6668
473.07078,0.6638,0.6608,0.6567,0.652,0.651
479.09972,0.651,0.651,0.651,0.651,0.651
485.12866,0.651,0.65,0.65,0.649,0.645
491.1576,0.644,0.643,0.6391,0.6341,0.6263
497.18654,0.6202,0.6162,0.6103,0.6053,0.5956
503.21548,0.5941,0.594,0.5949,0.5968,0.6043
509.24442,0.6059,0.6087,0.6099,0.6127,0.6192
515.27336,0.6209,0.621,0.6219,0.622,0.6211
521.3023,0.6201,0.62,0.6192,0.619,0.6182
527.33124,0.6163,0.6152,0.6133,0.6105,0.6092
533.36018,0.6082,0.6072,0.6062,0.6036,0.6014
539.38912,0.5979,0.5954,0.595,0.5942,0.5894
545.41806,0.585,0.5825,0.5813,0.5795,0.5783
551.447,0.5765,0.5753,0.5735,0.5716,0.5703
557.47594,0.5686,0.5659,0.5615,0.5586,0.5573
563.50488,0.557,0.555,0.554,0.5513,0.5467
569.53382,0.543,0.5413,0.5404,0.5394,0.5371
575.56276,0.5354,0.5337,0.5324,0.532,0.532
581.5917,0.5302,0.5278,0.5246,0.5224,0.5208
587.62064,0.5183,0.517,0.5164,0.5154,0.5139
593.64958,0.5119,0.5099,0.5085,0.508,0.5075
599.67852,0.5059,0.5039,0.502,0.5005,0.5
605.70746,0.499,0.4975,0.4965,0.496,0.496
611.7364,0.4955,0.495,0.4955,0.4969,0.498
617.76534,0.498,0.4975,0.497,0.4961,0.495
623.79428,0.495,0.495,0.495,0.4946,0.4932
629.82322,0.492,0.4916,0.491,0.4906,0.49
635.85216,0.49,0.49,0.49,0.49,0.4896
641.8811,0.489,0.489,0.489,0.489,0.4893
647.91004,0.49,0.4906,0.492,0.492,0.4917
653.93898,0.491,0.4907,0.4897,0.4887,0.488
659.96792,0.488,0.488,0.4883,0.4893,0.4905
665.99686,0.4925,0.4942,0.495,0.495,0.4952
672.0258,0.496,0.496,0.496,0.4962,0.497
678.05474,0.4972,0.4986,0.5012,0.5022,0.503
684.08368,0.5032,0.5042,0.5053,0.5072,0.508
690.11262,0.5082,0.509,0.5093,0.5113,0.5133
696.14156,0.5151,0.5161,0.5172,0.5191,0.52
702.1705,0.52,0.5201,0.5211,0.5223,0.5261
708.19944,0.527,0.527,0.527,0.527,0.5269
714.22838,0.5259,0.5249,0.523,0.522,0.521
720.25732,0.5199,0.5169,0.5109,0.5068,0.4959
726.28626,0.483,0.472,0.472,0.4759,0.4789
732.3152,0.4829,0.4859,0.4967,0.5047,0.5155
738.34414,0.5208,0.5276,0.5318,0.5385,0.5446
744.37308,0.5551,0.5624,0.5713,0.5802,0.5873
750.40202,0.5898,0.5936,0.5958,0.5987,0.6025
756.43096,0.6091,0.6152,0.6186,0.6207,0.6219
762.4599,0.622,0.6237,0.6248,0.6267,0.6295
768.48884,0.6325,0.6338,0.6364,0.6378,0.6388
774.51778,0.6398,0.6416,0.6436,0.6448,0.6458
780.54672,0.6483,0.6498,0.6515,0.6528,0.6545
786.57566,0.655,0.655,0.655,0.6535,0.653
792.6046,0.653,0.6523,0.652,0.6513,0.651
798.63354,0.6524,0.6592,0.6668,0.6731,0.6804
804.66248,0.685,0.686,0.6847,0.6827,0.6787
810.69142,0.6731,0.6691,0.6674,0.667,0.667
816.72036,0.667,0.6676,0.668,0.6674,0.6658
822.7493,0.6638,0.6618,0.6557,0.6462,0.6328
828.77824,0.6112,0.5882,0.5666,0.5464,0.5275
834.80718,0.5058,0.4717,0.445,0.439,0.4406
840.83612,0.4477,0.4725,0.5273,0.5783,0.6287
846.86506,0.6729,0.685,0.6933,0.7038,0.7127
852.894,0.7222,0.7298,0.7353,0.7394,0.7415
858.92294,0.742,0.7424,0.743,0.7413,0.7386
864.95188,0.7372,0.736,0.7364,0.7374,0.7392
870.98082,0.7442,0.7498,0.7525,0.755,0.7546
877.00976,0.7533,0.7513,0.7496,0.7469,0.7402
883.0387,0.7315,0.7199,0.7053,0.6871,0.6655
889.06764,0.6542,0.6435,0.6472,0.6735,0.6947
895.09658,0.7221,0.7416,0.7497,0.7557,0.7611
901.12552,0.7645,0.7663,0.7673,0.768,0.768
907.15446,0.768,0.7678,0.7663,0.7633,0.7603
913.1834,0.7576,0.7552,0.7516,0.7494,0.7454
919.21234,0.7374,0.7291,0.7179,0.7015,0.6864
925.24128,0.667,0.6549,0.641,0.6191,0.5843
931.27022,0.5671,0.5536,0.5366,0.519,0.5023
937.29916,0.4795,0.4518,0.4407,0.4271,0.3985
943.3281,0.3643,0.338,0.3398,0.3607,0.372
949.35704,0.414,0.4436,0.4532,0.4572,0.46
955.38598,0.4611,0.4633,0.4714,0.4845,0.506
961.41492,0.5562,0.5702,0.595,0.609,0.609
967.44386,0.607,0.6001,0.5941,0.5813,0.5694
973.4728,0.5574,0.5446,0.5212,0.4981,0.4743
979.50174,0.4448,0.4318,0.4189,0.3884,0.3685
985.53068,0.367,0.4359,0.4863,0.5136,0.5169
991.55962,0.5197,0.52,0.4874,0.4463,0.428
997.58856,0.4122,0.3826,0.3771,0.3506,0.3316
1003.6175,0.329,0.3315,0.3461,0.3638,0.3817
1009.64644,0.385,0.3842,0.3816,0.3754,0.3605
1015.67538,0.3325,0.315,0.3011,0.2763,0.2508
1021.70432,0.2351,0.232,0.2433,0.247,0.2477
1027.73326,0.248,0.2429,0.2366,0.2307,0.2276
1033.7622,0.2263,0.2253,0.225,0.225,0.225
1039.79114,0.2257,0.226,0.2267,0.2297,0.2383
1045.82008,0.2513,0.2626,0.266,0.2602,0.2512
1051.84902,0.2403,0.2354,0.2337,0.233,0.233
1057.87796,0.2324,0.2284,0.2212,0.2144,0.2084
1063.9069,0.2013,0.198,0.1968,0.196,0.1971
1069.93584,0.1986,0.2062,0.2158,0.2245,0.2399
1075.96478,0.2555,0.2743,0.3234,0.3778,0.4207
1081.99372,0.4542,0.4746,0.4895,0.495,0.4915
1088.02266,0.4865,0.4836,0.4801,0.4761,0.4726
1094.0516,0.4687,0.4592,0.447,0.4384,0.4296
1100.08054,0.4174,0.4047,0.3969,0.3911,0.3829
1106.10948,0.377,0.3794,0.3893,0.4159,0.4479
1112.13842,0.4628,0.4815,0.5045,0.5325,0.563
1118.16736,0.5732,0.5825,0.5928,0.6034,0.6131
1124.1963,0.621,0.6253,0.6283,0.6346,0.6396
1130.22524,0.6458,0.6559,0.668,0.677,0.684
1136.25418,0.6924,0.7021,0.7066,0.7121,0.7166
1142.28312,0.7218,0.7253,0.73,0.7337,0.736
1148.31206,0.7362,0.7372,0.7382,0.739,0.7394
1154.341,0.741,0.741,0.741,0.741,0.7406
1160.36994,0.739,0.7386,0.7368,0.7358,0.7347
1166.39888,0.7328,0.732,0.7317,0.73,0.7296
1172.42782,0.7267,0.7242,0.7188,0.7167,0.7132
1178.45676,0.7064,0.7009,0.699,0.6886,0.6828
1184.4857,0.6703,0.6627,0.6587,0.6543,0.6448
1190.51464,0.6418,0.6384,0.6265,0.6155,0.6026
1196.54358,0.5929,0.5909,0.5869,0.583,0.581
1202.57252,0.576,0.572,0.569,0.57,0.572
1208.60146,0.5749,0.5818,0.5849,0.5927,0.5988
1214.6304,0.6114,0.6243,0.6335,0.6443,0.6516
1220.65934,0.6557,0.6569,0.657,0.6561,0.6533
1226.68828,0.6521,0.6475,0.6461,0.6451,0.6379
1232.71722,0.6326,0.6302,0.6283,0.6263,0.6226
1238.74616,0.6211,0.6202,0.62,0.62,0.6208
1244.7751,0.6235,0.6257,0.6293,0.6333,0.6372
1250.80404,0.6412,0.6452,0.6507,0.6606,0.6638
1256.83298,0.664,0.664,0.664,0.6632,0.6622
1262.86192,0.6612,0.6595,0.6575,0.6563,0.6553
1268.89086,0.6521,0.6467,0.64,0.6309,0.6259
1274.9198,0.6159,0.6071,0.5995,0.5908,0.5798
1280.94874,0.5706,0.5619,0.5583,0.558,0.558
1286.97768,0.5587,0.5596,0.5613,0.562,0.5607
1293.00662,0.5594,0.5578,0.5564,0.5523,0.5482
