x,y1,y2,y3,y4,y5
449.619,0.586,0.586,0.586,0.587,0.589
453.97156,0.589,0.59,0.59,0.592,0.593
458.324121,0.593,0.594,0.594,0.596,0.596
462.676681,0.596,0.596,0.596,0.596,0.596
467.029241,0.597,0.597,0.597,0.597,0.596
471.381802,0.596,0.596,0.596,0.596,0.597
475.734362,0.597,0.597,0.597,0.598,0.597
480.086923,0.597,0.597,0.598,0.597,0.597
484.439483,0.597,0.597,0.597,0.596,0.596
488.792043,0.596,0.594,0.594,0.594,0.593
493.144604,0.593,0.592,0.592,0.59,0.589
497.497164,0.587,0.586,0.586,0.585,0.582
501.849724,0.579,0.578,0.575,0.574,0.572
506.202285,0.568,0.567,0.564,0.564,0.56
510.554845,0.556,0.552,0.549,0.548,0.542
514.907405,0.54,0.538,0.537,0.536,0.534
519.259966,0.534,0.534,0.534,0.534,0.534
523.612526,0.536,0.536,0.537,0.537,0.54
527.965086,0.542,0.547,0.548,0.549,0.552
532.317647,0.553,0.555,0.559,0.56,0.56
536.670207,0.562,0.562,0.562,0.562,0.563
541.022768,0.564,0.564,0.564,0.564,0.564
545.375328,0.564,0.564,0.566,0.566,0.566
549.727888,0.566,0.567,0.567,0.567,0.566
554.080449,0.566,0.566,0.566,0.567,0.567
558.433009,0.567,0.566,0.566,0.566,0.564
562.785569,0.566,0.564,0.564,0.564,0.564
567.13813,0.563,0.563,0.563,0.562,0.562
571.49069,0.563,0.562,0.562,0.562,0.56
575.84325,0.56,0.559,0.559,0.559,0.559
580.195811,0.559,0.557,0.557,0.557,0.557
584.548371,0.557,0.557,0.557,0.559,0.557
588.900932,0.557,0.557,0.557,0.557,0.556
593.253492,0.556,0.556,0.556,0.556,0.556
597.606052,0.556,0.555,0.555,0.555,0.555
601.958613,0.555,0.555,0.555,0.556,0.556
606.311173,0.556,0.555,0.555,0.555,0.555
610.663733,0.555,0.555,0.555,0.555,0.555
615.016294,0.556,0.556,0.556,0.556,0.556
619.368854,0.556,0.556,0.556,0.556,0.556
623.721414,0.556,0.556,0.556,0.556,0.556
628.073975,0.556,0.556,0.556,0.556,0.556
632.426535,0.556,0.556,0.556,0.556,0.555
636.779096,0.555,0.555,0.555,0.555,0.555
641.131656,0.553,0.555,0.555,0.555,0.555
645.484216,0.555,0.555,0.555,0.555,0.555
649.836777,0.555,0.556,0.556,0.556,0.556
654.189337,0.556,0.556,0.556,0.556,0.556
658.541897,0.556,0.557,0.557,0.557,0.557
662.894458,0.557,0.557,0.557,0.557,0.557
667.247018,0.557,0.557,0.557,0.557,0.557
671.599578,0.559,0.559,0.559,0.559,0.559
675.952139,0.559,0.56,0.56,0.56,0.56
680.304699,0.56,0.56,0.56,0.562,0.562
684.657259,0.562,0.563,0.563,0.563,0.564
689.00982,0.564,0.564,0.566,0.566,0.566
693.36238,0.567,0.567,0.567,0.568,0.568
697.714941,0.568,0.57,0.57,0.57,0.571
702.067501,0.571,0.571,0.572,0.572,0.574
706.420061,0.574,0.575,0.575,0.577,0.577
710.772622,0.578,0.579,0.581,0.582,0.582
