x,y1,y2,y3,y4,y5
620.546,0.703,0.703,0.703,0.705,0.705
624.772273,0.705,0.705,0.705,0.705,0.706
628.998546,0.706,0.706,0.706,0.706,0.706
633.224819,0.706,0.706,0.706,0.706,0.706
637.451092,0.706,0.706,0.706,0.706,0.706
641.677366,0.706,0.708,0.708,0.708,0.708
645.903639,0.708,0.708,0.71,0.71,0.71
650.129912,0.71,0.71,0.711,0.713,0.715
654.356185,0.715,0.716,0.716,0.716,0.718
658.582458,0.718,0.718,0.718,0.72,0.72
662.808731,0.72,0.72,0.722,0.722,0.722
667.035004,0.722,0.722,0.722,0.722,0.722
671.261277,0.722,0.722,0.722,0.723,0.725
675.48755,0.725,0.727,0.727,0.728,0.728
679.713824,0.73,0.732,0.732,0.732,0.732
683.940097,0.733,0.733,0.733,0.733,0.733
688.16637,0.733,0.733,0.733,0.733,0.735
692.392643,0.735,0.735,0.737,0.738,0.738
696.618916,0.74,0.742,0.744,0.744,0.745
700.845189,0.745,0.745,0.745,0.747,0.749
705.071462,0.75,0.75,0.752,0.752,0.754
709.297735,0.754,0.755,0.755,0.755,0.757
713.524008,0.757,0.759,0.761,0.761,0.762
717.750282,0.762,0.762,0.762,0.762,0.762
721.976555,0.764,0.764,0.766,0.766,0.769
726.202828,0.771,0.771,0.772,0.772,0.772
730.429101,0.772,0.774,0.774,0.774,0.774
734.655374,0.776,0.776,0.776,0.776,0.776
738.881647,0.777,0.777,0.777,0.777,0.777
743.10792,0.777,0.777,0.777,0.777,0.777
747.334193,0.776,0.776,0.774,0.772,0.772
751.560466,0.771,0.769,0.767,0.764,0.761
755.78674,0.755,0.754,0.75,0.75,0.749
760.013013,0.749,0.749,0.749,0.749,0.75
764.239286,0.75,0.752,0.754,0.755,0.755
768.465559,0.759,0.759,0.762,0.766,0.767
772.691832,0.771,0.772,0.774,0.777,0.781
776.918105,0.784,0.789,0.793,0.794,0.8
781.144378,0.806,0.808,0.81,0.811,0.811
785.370651,0.813,0.813,0.813,0.813,0.813
789.596924,0.813,0.813,0.815,0.815,0.815
793.823198,0.815,0.815,0.815,0.815,0.816
798.049471,0.816,0.818,0.82,0.823,0.825
802.275744,0.827,0.827,0.83,0.832,0.833
806.502017,0.833,0.833,0.835,0.835,0.837
810.72829,0.838,0.838,0.838,0.837,0.837
814.954563,0.835,0.833,0.833,0.833,0.833
819.180836,0.833,0.83,0.83,0.83,0.83
823.407109,0.83,0.832,0.833,0.835,0.835
827.633382,0.835,0.835,0.835,0.835,0.835
831.859656,0.837,0.837,0.838,0.842,0.844
836.085929,0.845,0.845,0.847,0.849,0.852
840.312202,0.854,0.855,0.857,0.857,0.857
844.538475,0.859,0.859,0.861,0.861,0.861
848.764748,0.862,0.862,0.864,0.864,0.864
852.991021,0.864,0.864,0.866,0.866,0.866
857.217294,0.866,0.866,0.866,0.866,0.866
861.443567,0.866,0.866,0.867,0.867,0.867
865.66984,0.867,0.867,0.867,0.867,0.867
869.896114,0.867,0.867,0.867,0.867,0.867
874.122387,0.867,0.866,0.866,0.864,0.864
878.34866,0.862,0.862,0.861,0.861,0.859
882.574933,0.855,0.854,0.852,0.849,0.845
886.801206,0.842,0.835,0.83,0.82,0.816
891.027479,0.815,0.813,0.811,0.81,0.81
895.253752,0.81,0.811,0.811,0.813,0.816
899.480025,0.818,0.82,0.822,0.823,0.825
903.706298,0.827,0.828,0.828,0.83,0.833
907.932572,0.835,0.845,0.847,0.849,0.852
912.158845,0.855,0.857,0.859,0.859,0.859
916.385118,0.857,0.857,0.855,0.855,0.854
920.611391,0.854,0.852,0.852,0.85,0.849
924.837664,0.847,0.842,0.84,0.838,0.838
929.063937,0.837,0.835,0.835,0.833,0.833
933.29021,0.833,0.833,0.835,0.835,0.835
937.516483,0.837,0.837,0.837,0.837,0.837
941.742756,0.837,0.835,0.835,0.832,0.83
945.96903,0.827,0.822,0.818,0.811,0.803
950.195303,0.789,0.777,0.766,0.755,0.754
954.421576,0.754,0.752,0.752,0.752,0.752
958.647849,0.752,0.75,0.747,0.744,0.74
962.874122,0.735,0.727,0.723,0.723,0.723
967.100395,0.725,0.73,0.732,0.732,0.732
971.326668,0.73,0.728,0.725,0.715,0.706
975.552941,0.701,0.698,0.694,0.693,0.686
979.779214,0.683,0.683,0.681,0.681,0.679
984.005488,0.677,0.677,0.677,0.677,0.676
988.231761,0.676,0.676,0.676,0.676,0.676
992.458034,0.676,0.676,0.674,0.672,0.664
996.684307,0.655,0.644,0.6321,0.6201,0.5981
1000.91058,0.571,0.545,0.527,0.513,0.503
1005.136853,0.494,0.488,0.483,0.476,0.466
1009.363126,0.452,0.433,0.432,0.432,0.432
1013.589399,0.432,0.433,0.44,0.45,0.459
1017.815673,0.481,0.518,0.547,0.574,0.603
1022.041946,0.608,0.61,0.611,0.61,0.608
1026.268219,0.6,0.594,0.588,0.577,0.566
1030.494492,0.5421,0.5111,0.4961,0.4671,0.4451
1034.720765,0.415,0.398,0.381,0.344,0.2981
1038.947038,0.289,0.279,0.266,0.262,0.262
1043.173311,0.262,0.262,0.264,0.264,0.266
1047.399584,0.269,0.271,0.274,0.277,0.286
1051.625857,0.294,0.3,0.306,0.311,0.318
1055.852131,0.327,0.338,0.3539,0.3719,0.4098
1060.078404,0.43,0.455,0.486,0.515,0.5419
1064.304677,0.5669,0.5909,0.6149,0.6349,0.6569
1068.53095,0.676,0.71,0.727,0.74,0.754
1072.757223,0.767,0.779,0.789,0.7999,0.808
1076.983496,0.816,0.823,0.828,0.83,0.832
1081.209769,0.832,0.833,0.835,0.835,0.835
1085.436042,0.835,0.835,0.835,0.833,0.833
1089.662315,0.832,0.828,0.828,0.827,0.825
1093.888589,0.823,0.822,0.82,0.815,0.811
1098.114862,0.81,0.803,0.791,0.7791,0.776
1102.341135,0.774,0.771,0.769,0.767,0.764
1106.567408,0.762,0.761,0.761,0.759,0.759
1110.793681,0.759,0.759,0.759,0.759,0.761
1115.019954,0.761,0.762,0.762,0.764,0.764
1119.246227,0.766,0.767,0.769,0.769,0.771
1123.4725,0.772,0.772,0.774,0.776,0.777
1127.698773,0.779,0.781,0.784,0.786,0.788
1131.925047,0.789,0.791,0.793,0.793,0.798
1136.15132,0.8,0.803,0.806,0.81,0.815
1140.377593,0.82,0.822,0.823,0.827,0.827
1144.603866,0.832,0.833,0.835,0.835,0.837
1148.830139,0.838,0.838,0.838,0.838,0.837
1153.056412,0.837,0.837,0.835,0.835,0.833
1157.282685,0.832,0.83,0.83,0.828,0.825
1161.508958,0.825,0.825,0.825,0.825,0.825
1165.735231,0.825,0.827,0.828,0.83,0.833
1169.961505,0.837,0.842,0.845,0.849,0.85
1174.187778,0.854,0.857,0.859,0.861,0.861
1178.414051,0.862,0.862,0.862,0.862,0.862
1182.640324,0.861,0.861,0.861,0.861,0.859
1186.866597,0.859,0.857,0.857,0.854,0.854
1191.09287,0.852,0.852,0.85,0.849,0.849
1195.319143,0.847,0.845,0.845,0.844,0.842
1199.545416,0.842,0.84,0.837,0.833,0.833
1203.771689,0.83,0.828,0.828,0.825,0.822
1207.997963,0.822,0.82,0.818,0.815,0.811
1212.224236,0.808,0.8,0.798,0.794,0.793
1216.450509,0.789,0.789,0.788,0.788,0.786
1220.676782,0.784,0.783,0.783,0.783,0.781
1224.903055,0.781,0.781,0.781,0.781,0.781
1229.129328,0.783,0.786,0.788,0.789,0.791
1233.355601,0.794,0.796,0.798,0.8,0.803
1237.581874,0.805,0.808,0.808,0.811,0.816
1241.808147,0.818,0.82,0.82,0.82,0.82
1246.034421,0.82,0.82,0.82,0.818,0.818
1250.260694,0.816,0.816,0.815,0.815,0.813
1254.486967,0.813,0.811,0.81,0.81,0.81
1258.71324,0.81,0.81,0.81,0.81,0.808
1262.939513,0.806,0.806,0.806,0.806,0.806
1267.165786,0.808,0.81,0.811,0.815,0.818
1271.392059,0.818,0.818,0.818,0.818,0.816
