x,y1,y2,y3,y4,y5
451.337,0.904,0.904,0.904,0.904,0.904
455.605646,0.904,0.904,0.904,0.904,0.904
459.874292,0.904,0.904,0.904,0.904,0.904
464.142938,0.903,0.903,0.904,0.904,0.904
468.411584,0.904,0.904,0.904,0.903,0.903
472.68023,0.903,0.903,0.903,0.903,0.904
476.948876,0.904,0.904,0.904,0.904,0.906
481.217523,0.907,0.91,0.912,0.912,0.914
485.486169,0.917,0.921,0.923,0.926,0.929
489.754815,0.933,0.934,0.938,0.942,0.946
494.023461,0.949,0.949,0.95,0.951,0.957
498.292107,0.958,0.959,0.961,0.962,0.966
502.560753,0.969,0.971,0.973,0.977,0.978
506.829399,0.979,0.981,0.982,0.983,0.985
511.098045,0.987,0.99,0.993,0.993,0.994
515.366691,0.994,0.995,0.995,0.998,1.0
519.635337,1.0,1.002,1.002,1.002,1.002
523.903983,1.002,1.004,1.005,1.006,1.006
528.172629,1.008,1.009,1.009,1.01,1.012
532.441275,1.012,1.012,1.013,1.013,1.014
536.709921,1.014,1.014,1.016,1.016,1.016
540.978568,1.016,1.016,1.016,1.016,1.016
545.247214,1.016,1.016,1.016,1.016,1.016
549.51586,1.016,1.016,1.014,1.014,1.016
553.784506,1.016,1.016,1.016,1.017,1.018
558.053152,1.02,1.021,1.021,1.021,1.022
562.321798,1.022,1.022,1.022,1.022,1.022
566.590444,1.022,1.022,1.022,1.022,1.021
570.85909,1.021,1.02,1.02,1.018,1.018
575.127736,1.018,1.017,1.016,1.016,1.016
579.396382,1.016,1.014,1.013,1.013,1.013
583.665028,1.012,1.009,1.008,1.006,1.0
587.933674,0.993,0.979,0.979,1.0119,1.013
592.20232,1.012,1.012,1.012,1.012,1.01
596.470966,1.01,1.01,1.01,1.01,1.01
600.739613,1.009,1.008,1.006,1.005,1.004
605.008259,1.002,1.001,1.001,1.0,0.993
609.276905,0.991,0.991,0.99,0.989,0.987
613.545551,0.986,0.979,0.978,0.97,0.969
617.814197,0.97,0.971,0.978,0.9909,0.994
622.082843,0.994,0.993,0.993,0.99,0.989
626.351489,0.987,0.987,0.986,0.985,0.985
630.620135,0.981,0.979,0.977,0.973,0.97
634.888781,0.967,0.965,0.963,0.961,0.958
639.157427,0.957,0.955,0.95,0.946,0.941
643.426073,0.937,0.934,0.93,0.926,0.922
647.694719,0.917,0.912,0.912,0.907,0.9
