x,y1,y2,y3,y4,y5
235.41,0.915,0.914,0.915,0.914,0.914
240.32804,0.913,0.913,0.913,0.913,0.911
245.246079,0.911,0.911,0.911,0.911,0.911
250.164119,0.913,0.913,0.913,0.913,0.913
255.082159,0.913,0.911,0.911,0.911,0.911
260.000198,0.911,0.91,0.909,0.909,0.909
264.918238,0.907,0.907,0.907,0.909,0.909
269.836277,0.909,0.91,0.91,0.91,0.91
274.754317,0.91,0.91,0.909,0.909,0.907
279.672357,0.909,0.91,0.91,0.91,0.909
284.590396,0.909,0.909,0.909,0.909,0.909
289.508436,0.909,0.91,0.91,0.911,0.911
294.426476,0.911,0.913,0.913,0.913,0.913
299.344515,0.913,0.913,0.911,0.911,0.911
304.262555,0.909,0.909,0.907,0.907,0.906
309.180595,0.906,0.903,0.901,0.898,0.895
314.098634,0.895,0.894,0.891,0.89,0.887
319.016674,0.886,0.883,0.882,0.881,0.878
323.934713,0.872,0.871,0.868,0.862,0.856
328.852753,0.851,0.85,0.846,0.842,0.84
333.770793,0.839,0.839,0.84,0.842,0.843
338.688832,0.846,0.847,0.848,0.85,0.85
343.606872,0.848,0.847,0.844,0.843,0.836
348.524912,0.832,0.83,0.827,0.819,0.7991
353.442951,0.78,0.764,0.754,0.737,0.7131
358.360991,0.6921,0.681,0.6601,0.6351,0.6091
363.27903,0.608,0.608,0.609,0.612,0.618
368.19707,0.628,0.637,0.6559,0.6889,0.7169
373.11511,0.74,0.764,0.78,0.795,0.811
378.033149,0.8309,0.84,0.8539,0.8669,0.8809
382.951189,0.886,0.891,0.902,0.907,0.913
387.869229,0.915,0.917,0.919,0.919,0.918
392.787268,0.917,0.915,0.915,0.91,0.894
397.705308,0.886,0.885,0.886,0.889,0.895
402.623348,0.899,0.903,0.913,0.917,0.919
407.541387,0.923,0.934,0.938,0.943,0.949
412.459427,0.954,0.957,0.959,0.963,0.965
417.377466,0.965,0.966,0.966,0.965,0.963
422.295506,0.962,0.961,0.959,0.959,0.958
427.213546,0.955,0.951,0.95,0.943,0.941
432.131585,0.939,0.938,0.934,0.927,0.914
437.049625,0.898,0.891,0.878,0.8621,0.8421
441.967665,0.819,0.792,0.754,0.744,0.744
446.885704,0.752,0.7869,0.8059,0.8439,0.8769
451.803744,0.899,0.925,0.934,0.941,0.954
456.721784,0.959,0.967,0.971,0.974,0.978
461.639823,0.979,0.979,0.981,0.981,0.982
466.557863,0.983,0.985,0.986,0.987,0.989
471.475902,0.989,0.99,0.99,0.99,0.99
476.393942,0.99,0.99,0.99,0.989,0.989
481.311982,0.987,0.987,0.986,0.985,0.985
486.230021,0.983,0.983,0.983,0.983,0.985
491.148061,0.986,0.986,0.986,0.985,0.985
496.066101,0.983,0.981,0.974,0.97,0.967
500.98414,0.963,0.959,0.953,0.941,0.931
505.90218,0.914,0.901,0.8871,0.8711,0.8471
510.820219,0.815,0.792,0.764,0.745,0.7191
515.738259,0.6971,0.696,0.696,0.699,0.7149
520.656299,0.739,0.741,0.759,0.778,0.786
525.574338,0.788,0.786,0.783,0.779,0.7591
530.492378,0.723,0.684,0.5361,0.4661,0.445
535.410418,0.445,0.4889,0.5837,0.6766,0.7666
540.328457,0.822,0.87,0.894,0.909,0.914
545.246497,0.921,0.922,0.925,0.931,0.934
550.164537,0.937,0.945,0.949,0.951,0.951
555.082576,0.95,0.95,0.947,0.938,0.934
560.000616,0.921,0.894,0.87,0.844,0.8041
564.918655,0.7521,0.752,0.8477,0.85,0.9087
569.836695,0.93,0.951,0.955,0.957,0.958
574.754735,0.958,0.959,0.959,0.959,0.959
579.672774,0.961,0.961,0.962,0.963,0.963
584.590814,0.965,0.965,0.966,0.966,0.965
589.508854,0.965,0.965,0.965,0.965,0.965
594.426893,0.963,0.963,0.962,0.962,0.961
599.344933,0.959,0.958,0.958,0.955,0.951
604.262973,0.95,0.949,0.947,0.945,0.939
609.181012,0.935,0.929,0.926,0.922,0.921
614.099052,0.919,0.918,0.918,0.918,0.919
619.017091,0.922,0.925,0.933,0.945,0.955
623.935131,0.957,0.957,0.958,0.959,0.962
628.853171,0.962,0.966,0.967,0.969,0.969
633.77121,0.969,0.969,0.969,0.969,0.967
638.68925,0.967,0.966,0.966,0.966,0.965
643.60729,0.963,0.962,0.961,0.955,0.946
648.525329,0.939,0.931,0.925,0.917,0.91
653.443369,0.902,0.894,0.885,0.879,0.872
658.361408,0.86,0.85,0.84,0.824,0.812
663.279448,0.807,0.798,0.7831,0.7621,0.7401
668.197488,0.709,0.663,0.5481,0.4152,0.415
673.115527,0.5018,0.517,0.521,0.5768,0.6327
678.033567,0.667,0.7,0.72,0.724,0.724
682.951607,0.72,0.717,0.715,0.705,0.6891
687.869646,0.676,0.668,0.656,0.639,0.618
692.787686,0.5901,0.58,0.5361,0.5161,0.4951
697.705726,0.471,0.442,0.421,0.411,0.3581
702.623765,0.2672,0.2082,0.1402,0.129,0.0324
707.541805,0.032,0.081,0.129,0.16,0.189
712.459844,0.192,0.195,0.192,0.189,0.185
717.377884,0.181,0.18,0.179,0.179,0.181
722.295924,0.188,0.191,0.197,0.201,0.204
727.213963,0.22,0.235,0.248,0.263,0.279
732.132003,0.3,0.3269,0.3539,0.3789,0.4059
737.050043,0.431,0.458,0.483,0.509,0.532
741.968082,0.544,0.554,0.5759,0.5959,0.6129
746.886122,0.632,0.633,0.633,0.631,0.622
751.804162,0.61,0.5302,0.5101,0.4532,0.4052
756.722201,0.3109,0.2229,0.078,0.004,0.001
761.640241,0.002,0.018,0.033,0.0489,0.062
766.55828,0.1121,0.1601,0.254,0.327,0.4889
771.47632,0.5379,0.5859,0.6648,0.7148,0.7469
776.39436,0.784,0.806,0.83,0.844,0.864
781.312399,0.877,0.895,0.902,0.906,0.917
786.230439,0.925,0.927,0.929,0.929,0.927
791.148479,0.925,0.922,0.922,0.918,0.911
796.066518,0.909,0.897,0.887,0.872,0.8381
800.984558,0.7901,0.7292,0.6523,0.4378,0.4131
805.902598,0.4131,0.495,0.577,0.6969,0.7559
810.820637,0.8578,0.862,0.862,0.86,0.8301
815.738677,0.83,0.872,0.922,0.949,0.953
820.656716,0.959,0.973,0.979,0.983,0.985
825.574756,0.986,0.986,0.986,0.985,0.985
830.492796,0.983,0.982,0.981,0.979,0.979
835.410835,0.978,0.973,0.97,0.967,0.965
840.328875,0.957,0.946,0.937,0.926,0.914
845.246915,0.894,0.868,0.838,0.794,0.7321
850.164954,0.6611,0.5383,0.3984,0.1419,0.141
855.082994,0.2041,0.3081,0.433,0.5399,0.6449
860.001033,0.8137,0.824,0.824,0.819,0.7742
864.919073,0.735,0.692,0.671,0.5621,0.562
869.837113,0.7407,0.758,0.8388,0.9207,0.9409
874.755152,0.958,0.967,0.974,0.981,0.986
879.673192,0.99,0.995,0.998,1.001,1.002
884.591232,1.004,1.005,1.009,1.013,1.018
889.509271,1.021,1.022,1.025,1.026,1.028
894.427311,1.028,1.029,1.029,1.03,1.03
899.345351,1.03,1.03,1.03,1.03,1.03
904.26339,1.03,1.03,1.03,1.03,1.03
909.18143,1.03,1.03,1.03,1.03,1.03
914.099469,1.029,1.029,1.029,1.029,1.029
919.017509,1.028,1.028,1.028,1.028,1.026
923.935549,1.026,1.026,1.026,1.025,1.025
928.853588,1.024,1.022,1.021,1.02,1.018
933.771628,1.018,1.017,1.017,1.017,1.016
938.689668,1.014,1.013,1.012,1.008,0.9951
943.607707,0.99,0.986,0.982,0.979,0.977
948.525747,0.973,0.954,0.9301,0.9061,0.898
953.443787,0.864,0.819,0.819,0.846,0.871
958.361826,0.879,0.883,0.885,0.883,0.8661
963.279866,0.844,0.824,0.795,0.762,0.7231
968.197905,0.6931,0.6601,0.6281,0.5941,0.5621
973.115945,0.5621,0.617,0.672,0.724,0.8428
978.033985,0.8749,0.891,0.905,0.919,0.9349
982.952024,0.947,0.958,0.963,0.966,0.969
987.870064,0.974,0.986,0.993,0.997,0.998
992.788104,1.0,1.001,1.002,1.004,1.005
997.706143,1.008,1.01,1.012,1.013,1.014
1002.624183,1.016,1.017,1.017,1.017,1.017
1007.542222,1.017,1.016,1.016,1.014,1.013
1012.460262,1.012,1.01,1.006,1.004,1.0
1017.378302,0.991,0.986,0.983,0.978,0.975
1022.296341,0.971,0.965,0.958,0.941,0.929
1027.214381,0.917,0.905,0.887,0.8681,0.8271
1032.132421,0.7879,0.717,0.6719,0.489,0.3621
1037.05046,0.3041,0.304,0.5175,0.6207,0.7226
1041.9685,0.922,0.951,0.959,0.965,0.969
1046.88654,0.973,0.973,0.974,0.975,0.975
1051.804579,0.975,0.974,0.974,0.973,0.973
1056.722619,0.971,0.97,0.969,0.969,0.966
1061.640658,0.963,0.963,0.961,0.961,0.961
1066.558698,0.959,0.954,0.946,0.945,0.943
1071.476738,0.935,0.929,0.922,0.915,0.906
1076.394777,0.893,0.872,0.856,0.839,0.826
1081.312817,0.79,0.752,0.713,0.675,0.6351
1086.230857,0.5462,0.4981,0.4462,0.3424,0.2623
1091.148896,0.1849,0.024,0.024,0.058,0.092
1096.066936,0.1219,0.1529,0.2198,0.4043,0.4966
1100.984976,0.5882,0.745,0.787,0.818,0.832
1105.903015,0.844,0.851,0.852,0.852,0.852
1110.821055,0.852,0.851,0.846,0.838,0.832
1115.739094,0.824,0.818,0.816,0.816,0.814
1120.657134,0.806,0.792,0.762,0.752,0.735
1125.575174,0.717,0.6791,0.6331,0.5971,0.4824
1130.493213,0.4409,0.397,0.352,0.292,0.256
1135.411253,0.2171,0.1791,0.179,0.1969,0.2159
1140.329293,0.2512,0.3871,0.529,0.545,0.553
1145.247332,0.56,0.6039,0.612,0.614,0.609
1150.165372,0.541,0.508,0.462,0.417,0.358
1155.083411,0.2941,0.2321,0.0574,0.0361,0.0161
1160.001451,0.0161,0.062,0.072,0.092,0.11
1164.919491,0.1599,0.2049,0.2449,0.4135,0.4499
1169.83753,0.482,0.485,0.485,0.482,0.478
1174.75557,0.463,0.445,0.426,0.4021,0.3711
1179.67361,0.3439,0.302,0.256,0.207,0.185
1184.591649,0.161,0.159,0.157,0.159,0.16
1189.509689,0.161,0.161,0.159,0.144,0.136
1194.427729,0.129,0.112,0.109,0.11,0.114
1199.345768,0.117,0.12,0.12,0.089,0.066
1204.263808,0.05,0.034,0.0061,0.004,0.002
1209.181847,0.002,0.002,0.002,0.002,0.004
1214.099887,0.004,0.005,0.006,0.009,0.012
1219.017927,0.016,0.02,0.032,0.048,0.069
1223.935966,0.096,0.102,0.109,0.127,0.132
1228.854006,0.135,0.131,0.124,0.121,0.122
1233.772046,0.131,0.136,0.1569,0.1799,0.1949
1238.690085,0.205,0.207,0.207,0.201,0.196
1243.608125,0.195,0.185,0.177,0.1591,0.0893
1248.526165,0.044,0.03,0.018,0.006,0.004
1253.444204,0.004,0.005,0.008,0.012,0.0289
1258.362244,0.085,0.098,0.136,0.172,0.2349
1263.280283,0.3109,0.4288,0.4859,0.5219,0.5419
1268.198323,0.548,0.552,0.556,0.556,0.549
1273.116363,0.548,0.544,0.541,0.54,0.538
1278.034402,0.537,0.534,0.514,0.485,0.445
1282.952442,0.411,0.3771,0.3301,0.2762,0.2351
1287.870482,0.213,0.213,0.217,0.219,0.219
1292.788521,0.216,0.209,0.2,0.1811,0.1601
1297.706561,0.1389,0.089,0.062,0.041,0.01
1302.624601,0.0,0.0,0.0,0.0,0.0
1307.54264,0.0,0.0,0.001,0.004,0.008
1312.46068,0.013,0.024,0.041,0.0609,0.0859
1317.378719,0.094,0.101,0.116,0.12,0.121
1322.296759,0.113,0.0801,0.066,0.048,0.0301
1327.214799,0.026,0.024,0.022,0.022,0.024
1332.132838,0.025,0.025,0.024,0.022,0.02
1337.050878,0.02,0.018,0.018,0.018,0.02
1341.968918,0.034,0.04,0.05,0.062,0.0839
1346.886957,0.096,0.106,0.118,0.159,0.187
1351.804997,0.188,0.216,0.2439,0.263,0.2909
1356.723036,0.312,0.328,0.344,0.359,0.385
1361.641076,0.398,0.418,0.43,0.435,0.447
1366.559116,0.461,0.466,0.473,0.486,0.491
1371.477155,0.495,0.498,0.5,0.501,0.502
1376.395195,0.502,0.502,0.502,0.501,0.498
1381.313235,0.493,0.49,0.487,0.485,0.482
1386.231274,0.477,0.469,0.459,0.451,0.445
1391.149314,0.434,0.417,0.41,0.398,0.381
1396.067354,0.367,0.36,0.35,0.34,0.33
1400.985393,0.324,0.322,0.32,0.32,0.32
1405.903433,0.32,0.322,0.323,0.326,0.331
1410.821472,0.334,0.335,0.336,0.336,0.338
1415.739512,0.339,0.342,0.344,0.35,0.358
1420.657552,0.374,0.391,0.398,0.402,0.4209
1425.575591,0.441,0.454,0.462,0.469,0.47
1430.493631,0.47,0.459,0.443,0.435,0.422
1435.411671,0.3939,0.364,0.3199,0.07,0.053
1440.32971,0.036,0.02,0.004,0.004,0.005
1445.24775,0.009,0.016,0.026,0.033,0.064
1450.16579,0.082,0.1,0.1269,0.1489,0.1689
1455.083829,0.1921,0.219,0.228,0.231,0.231
1460.001869,0.223,0.211,0.209,0.205,0.203
1464.919908,0.195,0.176,0.163,0.147,0.147
1469.837948,0.159,0.171,0.183,0.201,0.2199
1474.755988,0.24,0.259,0.26,0.256,0.244
1479.674027,0.235,0.217,0.204,0.1481,0.0942
1484.592067,0.0639,0.034,0.004,0.001,0.001
1489.510107,0.005,0.01,0.034,0.0579,0.0849
1494.428146,0.1102,0.1951,0.2681,0.339,0.386
1499.346186,0.426,0.459,0.486,0.495,0.498
1504.264225,0.497,0.493,0.486,0.478,0.471
1509.182265,0.465,0.455,0.453,0.454,0.466
1514.100305,0.497,0.5091,0.542,0.562,0.582
1519.018344,0.601,0.614,0.631,0.6639,0.675
1523.936384,0.676,0.679,0.68,0.683,0.684
1528.854424,0.684,0.687,0.691,0.692,0.695
1533.772463,0.697,0.701,0.708,0.717,0.723
1538.690503,0.724,0.724,0.725,0.725,0.725
1543.608543,0.725,0.724,0.724,0.724,0.725
1548.526582,0.725,0.727,0.727,0.728,0.728
1553.444622,0.728,0.727,0.725,0.723,0.72
1558.362661,0.719,0.716,0.713,0.712,0.709
1563.280701,0.705,0.697,0.691,0.688,0.684
1568.198741,0.677,0.669,0.665,0.656,0.648
1573.11678,0.633,0.627,0.616,0.605,0.59
1578.03482,0.574,0.5181,0.4871,0.4571,0.4251
1582.95286,0.3869,0.3389,0.2759,0.098,0.064
1587.870899,0.064,0.093,0.1219,0.124,0.2067
1592.788939,0.248,0.2591,0.3401,0.41,0.418
1597.706979,0.419,0.419,0.418,0.418,0.415
1602.625018,0.413,0.409,0.406,0.399,0.393
1607.543058,0.375,0.367,0.355,0.342,0.3001
1612.461097,0.2549,0.2188,0.092,0.072,0.049
1617.379137,0.028,0.028,0.04,0.052,0.06
1622.297177,0.082,0.1041,0.1531,0.213,0.272
1627.215216,0.356,0.4229,0.4669,0.5209,0.538
1632.133256,0.554,0.569,0.576,0.577,0.578
1637.051296,0.58,0.58,0.578,0.578,0.577
1641.969335,0.576,0.568,0.564,0.548,0.541
1646.887375,0.521,0.51,0.494,0.483,0.4621
1651.805414,0.441,0.425,0.409,0.394,0.382
1656.723454,0.37,0.359,0.348,0.34,0.332
1661.641494,0.3149,0.287,0.271,0.244,0.221
1666.559533,0.201,0.181,0.163,0.143,0.0941
1671.477573,0.064,0.049,0.034,0.01,0.0
1676.395613,0.0,0.0,0.0,0.0,0.0
1681.313652,0.0,0.0,0.0,0.0,0.0
1686.231692,0.0,0.0,0.0,0.001,0.001
1691.149732,0.002,0.002,0.004,0.008,0.016
1696.067771,0.022,0.029,0.038,0.042,0.0839
1700.985811,0.096,0.106,0.117,0.137,0.159
1705.90385,0.185,0.213,0.2449,0.2779,0.292
1710.82189,0.3421,0.399,0.425,0.451,0.478
1715.73993,0.504,0.528,0.549,0.56,0.569
1720.657969,0.584,0.593,0.609,0.622,0.631
1725.576009,0.635,0.636,0.636,0.636,0.635
1730.494049,0.633,0.624,0.617,0.614,0.613
1735.412088,0.614,0.616,0.618,0.624,0.629
1740.330128,0.635,0.645,0.656,0.664,0.673
1745.248168,0.683,0.693,0.705,0.723,0.727
1750.166207,0.728,0.733,0.744,0.747,0.752
1755.084247,0.754,0.756,0.758,0.758,0.759
1760.002286,0.762,0.77,0.776,0.782,0.791
1764.920326,0.795,0.798,0.799,0.799,0.799
1769.838366,0.798,0.796,0.796,0.796,0.795
1774.756405,0.795,0.795,0.796,0.798,0.799
1779.674445,0.802,0.803,0.807,0.811,0.815
1784.592485,0.823,0.824,0.828,0.83,0.831
1789.510524,0.831,0.832,0.834,0.834,0.834
1794.428564,0.834,0.834,0.834,0.834,0.832
1799.346604,0.832,0.832,0.831,0.831,0.831
1804.264643,0.83,0.83,0.828,0.827,0.824
1809.182683,0.823,0.82,0.815,0.808,0.794
1814.100722,0.786,0.778,0.775,0.778,0.78
1819.018762,0.786,0.792,0.804,0.819,0.83
1823.936802,0.838,0.844,0.848,0.851,0.851
1828.854841,0.852,0.852,0.852,0.855,0.855
1833.772881,0.854,0.851,0.85,0.85,0.848
1838.690921,0.848,0.847,0.844,0.843,0.843
1843.60896,0.846,0.85,0.854,0.859,0.86
1848.527,0.863,0.864,0.866,0.867,0.867
1853.445039,0.868,0.868,0.868,0.867,0.867
1858.363079,0.866,0.866,0.866,0.866,0.866
1863.281119,0.864,0.864,0.864,0.866,0.866
1868.199158,0.866,0.867,0.867,0.868,0.872
1873.117198,0.874,0.875,0.875,0.877,0.877
1878.035238,0.877,0.878,0.879,0.879,0.881
1882.953277,0.881,0.881,0.881,0.881,0.881
1887.871317,0.881,0.879,0.879,0.878,0.877
1892.789357,0.877,0.875,0.874,0.871,0.87
1897.707396,0.867,0.863,0.86,0.856,0.854
1902.625436,0.85,0.846,0.846,0.847,0.85
1907.543475,0.851,0.855,0.86,0.863,0.864
1912.461515,0.864,0.864,0.863,0.862,0.856
1917.379555,0.855,0.852,0.848,0.846,0.836
1922.297594,0.831,0.83,0.826,0.818,0.814
1927.215634,0.808,0.794,0.783,0.778,0.776
1932.133674,0.775,0.776,0.779,0.782,0.794
1937.051713,0.806,0.814,0.82,0.826,0.831
1941.969753,0.832,0.834,0.834,0.834,0.835
1946.887793,0.835,0.835,0.835,0.835,0.835
1951.805832,0.832,0.83,0.828,0.828,0.828
1956.723872,0.828,0.828,0.83,0.831,0.832
1961.641911,0.836,0.851,0.856,0.864,0.87
1966.559951,0.871,0.871,0.874,0.874,0.875
1971.477991,0.875,0.877,0.877,0.878,0.878
1976.39603,0.878,0.879,0.881,0.881,0.881
1981.31407,0.881,0.881,0.879,0.879,0.878
1986.23211,0.877,0.877,0.878,0.878,0.879
1991.150149,0.879,0.879,0.881,0.882,0.882
1996.068189,0.883,0.883,0.885,0.886,0.887
2000.986228,0.889,0.891,0.895,0.899,0.9025
2005.904268,0.906,0.9085,0.911,0.912,0.913
2010.822308,0.913,0.913,0.913,0.913,0.913
2015.740347,0.913,0.913,0.913,0.913,0.913
2020.658387,0.912,0.911,0.911,0.911,0.9105
2025.576427,0.91,0.9095,0.909,0.908,0.907
2030.494466,0.907,0.907,0.9065,0.906,0.9055
2035.412506,0.905,0.905,0.905,0.904,0.903
2040.330546,0.9025,0.902,0.9,0.898,0.896
2045.248585,0.894,0.8935,0.893,0.892,0.891
2050.166625,0.8905,0.89,0.8875,0.885,0.8815
2055.084664,0.8781,0.875,0.872,0.8715,0.871
2060.002704,0.8715,0.872,0.873,0.874,0.8755
2064.920744,0.877,0.879,0.881,0.882,0.883
2069.838783,0.8885,0.8939,0.8994,0.9049,0.908
2074.756823,0.911,0.913,0.915,0.916,0.917
2079.674863,0.9175,0.918,0.918,0.918,0.918
2084.592902,0.918,0.9175,0.917,0.917,0.917
2089.510942,0.916,0.915,0.913,0.911,0.91
2094.428982,0.909,0.9075,0.906,0.9045,0.903
2099.347021,0.9,0.897,0.8955,0.894,0.894
2104.265061,0.894,0.8945,0.895,0.8965,0.898
2109.1831,0.8995,0.901,0.903,0.905,0.906
2114.10114,0.907,0.908,0.909,0.909,0.909
2119.01918,0.9095,0.91,0.9105,0.911,0.911
2123.937219,0.911,0.911,0.911,0.9105,0.91
2128.855259,0.91,0.91,0.9095,0.909,0.908
2133.773299,0.907,0.9065,0.906,0.9055,0.905
2138.691338,0.905,0.905,0.904,0.903,0.902
2143.609378,0.901,0.9,0.899,0.897,0.895
2148.527417,0.894,0.893,0.891,0.889,0.8875
2153.445457,0.886,0.8855,0.885,0.8855,0.886
2158.363497,0.8875,0.889,0.8915,0.894,0.8965
2163.281536,0.899,0.9025,0.906,0.908,0.91
2168.199576,0.9105,0.911,0.911,0.911,0.911
2173.117616,0.911,0.9105,0.91,0.91,0.91
2178.035655,0.9095,0.909,0.908,0.907,0.907
2182.953695,0.907,0.908,0.909,0.9095,0.91
2187.871735,0.91,0.91,0.91,0.91,0.9105
2192.789774,0.911,0.911,0.911,0.911,0.911
2197.707814,0.912,0.913,0.914,0.915,0.915
2202.625853,0.915,0.916,0.917,0.917,0.917
2207.543893,0.917,0.917,0.917,0.917,0.917
2212.461933,0.917,0.917,0.917,0.917,0.917
2217.379972,0.917,0.917,0.916,0.915,0.915
2222.298012,0.915,0.915,0.915,0.915,0.915
2227.216052,0.915,0.915,0.915,0.915,0.9145
2232.134091,0.914,0.914,0.914,0.914,0.914
2237.052131,0.914,0.914,0.9135,0.913,0.913
2241.970171,0.913,0.913,0.913,0.913,0.913
2246.88821,0.9135,0.914,0.914,0.914,0.914
2251.80625,0.914,0.9135,0.913,0.913,0.913
2256.724289,0.912,0.911,0.911,0.911,0.9105
2261.642329,0.91,0.91,0.91,0.9095,0.909
2266.560369,0.909,0.909,0.908,0.907,0.9065
2271.478408,0.906,0.9055,0.905,0.904,0.903
2276.396448,0.9025,0.902,0.902,0.902,0.9015
2281.314488,0.901,0.9,0.899,0.899,0.899
