x,y1,y2,y3,y4,y5
396.094,0.428,0.442,0.456,0.459,0.5397
402.603366,0.4285,0.4419,0.4559,0.459,0.4679
409.112733,0.479,0.489,0.496,0.502,0.509
415.622099,0.519,0.523,0.5329,0.5439,0.5539
422.131465,0.563,0.575,0.584,0.59,0.593
428.640832,0.604,0.6139,0.6239,0.6329,0.637
435.150198,0.646,0.657,0.668,0.673,0.677
441.659564,0.685,0.691,0.697,0.701,0.704
448.16893,0.707,0.708,0.712,0.732,0.74
454.678297,0.742,0.748,0.753,0.754,0.7609
461.187663,0.765,0.771,0.774,0.778,0.779
467.697029,0.783,0.785,0.791,0.797,0.802
474.206396,0.804,0.806,0.809,0.81,0.814
480.715762,0.818,0.822,0.823,0.825,0.826
487.225128,0.827,0.828,0.83,0.83,0.83
493.734495,0.83,0.828,0.828,0.827,0.825
500.243861,0.822,0.819,0.815,0.813,0.812
506.753227,0.809,0.809,0.809,0.808,0.806
513.262594,0.806,0.805,0.804,0.802,0.802
519.77196,0.802,0.802,0.802,0.802,0.804
526.281326,0.805,0.808,0.81,0.812,0.813
532.790692,0.813,0.817,0.821,0.822,0.822
539.300059,0.826,0.83,0.832,0.832,0.834
545.809425,0.834,0.835,0.836,0.839,0.84
552.318791,0.843,0.844,0.845,0.845,0.848
558.828158,0.848,0.849,0.852,0.853,0.853
565.337524,0.855,0.855,0.855,0.856,0.859
571.84689,0.859,0.86,0.859,0.857,0.856
578.356257,0.857,0.859,0.859,0.86,0.86
584.865623,0.86,0.86,0.861,0.861,0.86
591.374989,0.86,0.86,0.859,0.859,0.86
597.884356,0.861,0.862,0.86,0.859,0.857
604.393722,0.857,0.856,0.856,0.856,0.856
610.903088,0.856,0.856,0.856,0.856,0.855
617.412454,0.855,0.853,0.853,0.852,0.852
623.921821,0.852,0.852,0.853,0.853,0.855
630.431187,0.853,0.853,0.853,0.853,0.853
636.940553,0.853,0.853,0.855,0.855,0.855
643.44992,0.855,0.855,0.855,0.852,0.852
649.959286,0.851,0.851,0.851,0.851,0.849
656.468652,0.849,0.848,0.845,0.844,0.843
662.978019,0.842,0.842,0.839,0.838,0.834
669.487385,0.834,0.836,0.843,0.845,0.847
675.996751,0.847,0.847,0.847,0.848,0.848
682.506118,0.848,0.849,0.852,0.853,0.853
689.015484,0.856,0.857,0.859,0.86,0.859
695.52485,0.859,0.86,0.861,0.861,0.861
702.034216,0.861,0.861,0.861,0.86,0.859
708.543583,0.859,0.857,0.857,0.856,0.856
715.052949,0.855,0.855,0.853,0.852,0.852
721.562315,0.848,0.847,0.843,0.84,0.839
728.071682,0.836,0.834,0.831,0.827,0.826
734.581048,0.823,0.822,0.819,0.818,0.818
741.090414,0.817,0.817,0.817,0.817,0.817
747.599781,0.817,0.817,0.817,0.815,0.815
